smoothness_weight,roughness,rmse_vs_truth,max_recon_error
0.001,0.26695117296536186,0.35963648811596016,0.00028196552917947315
0.0021544346900318843,0.11016848611416633,0.36010327194127156,0.00028196552917947315
0.004641588833612777,0.051812603761114476,0.35879504997641387,0.00028196552918302586
0.01,0.02755856025436322,0.35608055030633284,0.00028196552917947315
0.021544346900318832,0.015929815701794442,0.3521500929067225,0.00028196552918302586
0.046415888336127774,0.009556248873308953,0.34721801542433195,0.00028196552917947315
0.1,0.005909053096133266,0.34159772127255206,0.0002819655291723677
0.21544346900318823,0.003931945753295571,0.3353859170877385,0.00028196552917947315
0.46415888336127775,0.0029198929853632254,0.32833671886194415,0.00028196552917592044
1.0,0.0024012144865346993,0.3200344871234095,0.00028196552917592044
2.154434690031882,0.0021161551306196104,0.31040720386700094,0.00028196552917947315
4.6415888336127775,0.0019387061088217898,0.3013913410064966,0.00028196552917947315
10.0,0.0018136485419578277,0.299344338450898,0.00028196552917947315
21.54434690031882,0.0017206703970553898,0.31458883108663777,0.00028196552918302586
46.41588833612773,0.0016563250044845032,0.35259194676185546,0.00028196552917947315
100.0,0.001618827968882202,0.4050989441870395,0.00028196552917592044
215.44346900318823,0.001601052002485453,0.4563747950801962,0.00028196552917592044
464.1588833612773,0.0015943216000161638,0.4949053313761343,0.0002819655291901313
1000.0,0.0015922634434822275,0.5186126177212664,0.00028196552917947315
2154.4346900318824,0.0015917260032866404,0.5313954152396512,0.00028196552917947315
4641.588833612773,0.0015915983652163173,0.5377888777015464,0.00028196552917947315
10000.0,0.0015915695370946384,0.5408649629358321,0.00028196552917947315
